Age,Sex,Employment_Status,Education_Level,id,age_char,age_char_disk,sex_disk,employment_status_disk,education_level_disk
18,Female,Employed,Associate's Degree,754,18,18,Female,Employed,Diskretioneret
18,Female,Employed,Associate's Degree,1858,18,18,Female,Employed,Diskretioneret
18,Female,Employed,Bachelor's Degree,1847,18,18,Female,Employed,Diskretioneret
18,Female,Employed,Master's Degree,832,18,18,Female,Employed,Diskretioneret
18,Female,Employed,PhD,1896,18,18,Female,Employed,Diskretioneret
18,Female,Retired,Bachelor's Degree,1419,18,18,Female,Retired,Diskretioneret
18,Female,Retired,High School,197,18,18,Female,Retired,Diskretioneret
18,Female,Retired,High School,869,18,18,Female,Retired,Diskretioneret
18,Female,Retired,PhD,1568,18,18,Female,Retired,Diskretioneret
18,Female,Student,Associate's Degree,1091,18,18,Female,Student,Diskretioneret
18,Female,Student,Associate's Degree,1138,18,18,Female,Student,Diskretioneret
18,Female,Student,Associate's Degree,2917,18,18,Female,Student,Diskretioneret
18,Female,Student,Bachelor's Degree,645,18,18,Female,Student,Bachelor's Degree
18,Female,Student,Bachelor's Degree,2610,18,18,Female,Student,Bachelor's Degree
18,Female,Student,Bachelor's Degree,2889,18,18,Female,Student,Bachelor's Degree
18,Female,Student,Master's Degree,1251,18,18,Female,Student,Diskretioneret
18,Female,Unemployed,Associate's Degree,1216,18,18,Female,Unemployed,Diskretioneret
18,Female,Unemployed,Bachelor's Degree,2716,18,18,Female,Unemployed,Diskretioneret
18,Female,Unemployed,High School,1478,18,18,Female,Unemployed,Diskretioneret
18,Female,Unemployed,PhD,1540,18,18,Female,Unemployed,Diskretioneret
18,Male,Employed,Bachelor's Degree,1981,18,18,Male,Diskretioneret,Diskretioneret
18,Male,Employed,PhD,2751,18,18,Male,Diskretioneret,Diskretioneret
18,Male,Retired,Bachelor's Degree,1701,18,18,Male,Diskretioneret,Diskretioneret
18,Male,Retired,High School,773,18,18,Male,Diskretioneret,Diskretioneret
18,Male,Retired,PhD,2085,18,18,Male,Diskretioneret,Diskretioneret
18,Male,Student,Associate's Degree,1516,18,18,Male,Student,Diskretioneret
18,Male,Student,High School,2038,18,18,Male,Student,Diskretioneret
18,Male,Student,Master's Degree,2985,18,18,Male,Student,Diskretioneret
18,Male,Unemployed,Associate's Degree,2671,18,18,Male,Unemployed,Diskretioneret
18,Male,Unemployed,High School,1292,18,18,Male,Unemployed,Diskretioneret
18,Male,Unemployed,PhD,298,18,18,Male,Unemployed,Diskretioneret
19,Female,Employed,Bachelor's Degree,2484,19,19,Female,Employed,Diskretioneret
19,Female,Employed,High School,1267,19,19,Female,Employed,Diskretioneret
19,Female,Employed,Master's Degree,2339,19,19,Female,Employed,Diskretioneret
19,Female,Retired,Associate's Degree,860,19,19,Female,Retired,Diskretioneret
19,Female,Retired,Associate's Degree,1326,19,19,Female,Retired,Diskretioneret
19,Female,Retired,Bachelor's Degree,650,19,19,Female,Retired,Diskretioneret
19,Female,Retired,Bachelor's Degree,2084,19,19,Female,Retired,Diskretioneret
19,Female,Retired,Master's Degree,2578,19,19,Female,Retired,Diskretioneret
19,Female,Retired,PhD,364,19,19,Female,Retired,Diskretioneret
19,Female,Retired,PhD,2372,19,19,Female,Retired,Diskretioneret
19,Female,Student,Bachelor's Degree,2612,19,19,Female,Student,Diskretioneret
19,Female,Student,High School,939,19,19,Female,Student,Diskretioneret
19,Female,Student,PhD,2177,19,19,Female,Student,Diskretioneret
19,Female,Unemployed,Associate's Degree,396,19,19,Female,Unemployed,Associate's Degree
19,Female,Unemployed,Associate's Degree,988,19,19,Female,Unemployed,Associate's Degree
19,Female,Unemployed,Associate's Degree,1095,19,19,Female,Unemployed,Associate's Degree
19,Female,Unemployed,Bachelor's Degree,371,19,19,Female,Unemployed,Bachelor's Degree
19,Female,Unemployed,Bachelor's Degree,1500,19,19,Female,Unemployed,Bachelor's Degree
19,Female,Unemployed,Bachelor's Degree,2049,19,19,Female,Unemployed,Bachelor's Degree
19,Female,Unemployed,Bachelor's Degree,2208,19,19,Female,Unemployed,Bachelor's Degree
19,Female,Unemployed,High School,470,19,19,Female,Unemployed,Diskretioneret
19,Female,Unemployed,High School,690,19,19,Female,Unemployed,Diskretioneret
19,Female,Unemployed,Master's Degree,227,19,19,Female,Unemployed,Master's Degree
19,Female,Unemployed,Master's Degree,362,19,19,Female,Unemployed,Master's Degree
19,Female,Unemployed,Master's Degree,757,19,19,Female,Unemployed,Master's Degree
19,Female,Unemployed,PhD,1060,19,19,Female,Unemployed,Diskretioneret
19,Female,Unemployed,PhD,2960,19,19,Female,Unemployed,Diskretioneret
19,Male,Employed,Bachelor's Degree,618,19,19,Male,Diskretioneret,Diskretioneret
19,Male,Employed,High School,1348,19,19,Male,Diskretioneret,Diskretioneret
19,Male,Retired,Bachelor's Degree,327,19,19,Male,Retired,Diskretioneret
19,Male,Retired,Bachelor's Degree,1625,19,19,Male,Retired,Diskretioneret
19,Male,Retired,Master's Degree,1042,19,19,Male,Retired,Diskretioneret
19,Male,Retired,Master's Degree,2466,19,19,Male,Retired,Diskretioneret
19,Male,Retired,PhD,933,19,19,Male,Retired,Diskretioneret
19,Male,Retired,PhD,1722,19,19,Male,Retired,Diskretioneret
19,Male,Student,Associate's Degree,2429,19,19,Male,Diskretioneret,Diskretioneret
19,Male,Student,Bachelor's Degree,2725,19,19,Male,Diskretioneret,Diskretioneret
19,Male,Student,High School,2364,19,19,Male,Diskretioneret,Diskretioneret
19,Male,Student,Master's Degree,2470,19,19,Male,Diskretioneret,Diskretioneret
19,Male,Student,PhD,491,19,19,Male,Diskretioneret,Diskretioneret
19,Male,Unemployed,Bachelor's Degree,772,19,19,Male,Unemployed,Diskretioneret
19,Male,Unemployed,Bachelor's Degree,2592,19,19,Male,Unemployed,Diskretioneret
19,Male,Unemployed,Bachelor's Degree,2754,19,19,Male,Unemployed,Diskretioneret
19,Male,Unemployed,Bachelor's Degree,2884,19,19,Male,Unemployed,Diskretioneret
19,Male,Unemployed,High School,2402,19,19,Male,Unemployed,Diskretioneret
19,Male,Unemployed,PhD,2462,19,19,Male,Unemployed,Diskretioneret
20,Female,Employed,Bachelor's Degree,686,20,20,Female,Employed,Diskretioneret
20,Female,Employed,High School,737,20,20,Female,Employed,Diskretioneret
20,Female,Employed,Master's Degree,393,20,20,Female,Employed,Diskretioneret
20,Female,Employed,Master's Degree,1559,20,20,Female,Employed,Diskretioneret
20,Female,Employed,PhD,980,20,20,Female,Employed,Diskretioneret
20,Female,Retired,Bachelor's Degree,1488,20,20,Female,Retired,Diskretioneret
20,Female,Retired,Bachelor's Degree,1945,20,20,Female,Retired,Diskretioneret
20,Female,Retired,Bachelor's Degree,2121,20,20,Female,Retired,Diskretioneret
20,Female,Retired,High School,2129,20,20,Female,Retired,Diskretioneret
20,Female,Student,Associate's Degree,2743,20,20,Female,Student,Diskretioneret
20,Female,Student,Bachelor's Degree,1144,20,20,Female,Student,Diskretioneret
20,Female,Student,High School,770,20,20,Female,Student,Diskretioneret
20,Female,Student,Master's Degree,817,20,20,Female,Student,Diskretioneret
20,Female,Student,Master's Degree,2914,20,20,Female,Student,Diskretioneret
20,Female,Unemployed,Associate's Degree,1105,20,20,Female,Unemployed,Associate's Degree
20,Female,Unemployed,Associate's Degree,1754,20,20,Female,Unemployed,Associate's Degree
20,Female,Unemployed,Associate's Degree,1851,20,20,Female,Unemployed,Associate's Degree
20,Female,Unemployed,Bachelor's Degree,1281,20,20,Female,Unemployed,Diskretioneret
20,Female,Unemployed,Bachelor's Degree,1291,20,20,Female,Unemployed,Diskretioneret
20,Female,Unemployed,High School,2545,20,20,Female,Unemployed,Diskretioneret
20,Female,Unemployed,Master's Degree,2493,20,20,Female,Unemployed,Diskretioneret
20,Male,Employed,Bachelor's Degree,399,20,20,Male,Employed,Diskretioneret
20,Male,Employed,Bachelor's Degree,1314,20,20,Male,Employed,Diskretioneret
20,Male,Employed,High School,551,20,20,Male,Employed,High School
20,Male,Employed,High School,887,20,20,Male,Employed,High School
20,Male,Employed,High School,1072,20,20,Male,Employed,High School
20,Male,Employed,High School,2295,20,20,Male,Employed,High School
20,Male,Employed,High School,2760,20,20,Male,Employed,High School
20,Male,Employed,Master's Degree,2011,20,20,Male,Employed,Diskretioneret
20,Male,Employed,Master's Degree,2939,20,20,Male,Employed,Diskretioneret
20,Male,Employed,PhD,1691,20,20,Male,Employed,Diskretioneret
20,Male,Employed,PhD,2692,20,20,Male,Employed,Diskretioneret
20,Male,Retired,Associate's Degree,5,20,20,Male,Diskretioneret,Associate's Degree
20,Male,Retired,Associate's Degree,369,20,20,Male,Diskretioneret,Associate's Degree
20,Male,Retired,Associate's Degree,897,20,20,Male,Diskretioneret,Associate's Degree
20,Male,Retired,High School,436,20,20,Male,Diskretioneret,Diskretioneret
20,Male,Student,Bachelor's Degree,1108,20,20,Male,Diskretioneret,Diskretioneret
20,Male,Student,PhD,2922,20,20,Male,Diskretioneret,Diskretioneret
20,Male,Unemployed,Associate's Degree,122,20,20,Male,Unemployed,Diskretioneret
20,Male,Unemployed,Associate's Degree,1613,20,20,Male,Unemployed,Diskretioneret
20,Male,Unemployed,Bachelor's Degree,503,20,20,Male,Unemployed,Diskretioneret
20,Male,Unemployed,PhD,210,20,20,Male,Unemployed,Diskretioneret
20,Male,Unemployed,PhD,1906,20,20,Male,Unemployed,Diskretioneret
21,Female,Employed,Associate's Degree,2350,21,21,Female,Diskretioneret,Associate's Degree
21,Female,Employed,PhD,889,21,21,Female,Diskretioneret,PhD
21,Female,Employed,PhD,1481,21,21,Female,Diskretioneret,PhD
21,Female,Employed,PhD,1855,21,21,Female,Diskretioneret,PhD
21,Female,Retired,Bachelor's Degree,2712,21,21,Female,Retired,Diskretioneret
21,Female,Retired,Master's Degree,1744,21,21,Female,Retired,Diskretioneret
21,Female,Retired,PhD,328,21,21,Female,Retired,Diskretioneret
21,Female,Retired,PhD,2259,21,21,Female,Retired,Diskretioneret
21,Female,Student,Bachelor's Degree,863,21,21,Female,Student,Diskretioneret
21,Female,Student,Bachelor's Degree,964,21,21,Female,Student,Diskretioneret
21,Female,Student,High School,94,21,21,Female,Student,High School
21,Female,Student,High School,571,21,21,Female,Student,High School
21,Female,Student,High School,1828,21,21,Female,Student,High School
21,Female,Student,Master's Degree,1280,21,21,Female,Student,Diskretioneret
21,Female,Student,PhD,548,21,21,Female,Student,Diskretioneret
21,Female,Student,PhD,1827,21,21,Female,Student,Diskretioneret
21,Female,Unemployed,Associate's Degree,1386,21,21,Female,Diskretioneret,Associate's Degree
21,Female,Unemployed,Associate's Degree,2562,21,21,Female,Diskretioneret,Associate's Degree
21,Male,Employed,Associate's Degree,671,21,21,Male,Diskretioneret,Diskretioneret
21,Male,Employed,Bachelor's Degree,2586,21,21,Male,Diskretioneret,Diskretioneret
21,Male,Retired,Associate's Degree,196,21,21,Male,Retired,Associate's Degree
21,Male,Retired,Associate's Degree,2635,21,21,Male,Retired,Associate's Degree
21,Male,Retired,Associate's Degree,2879,21,21,Male,Retired,Associate's Degree
21,Male,Retired,Bachelor's Degree,836,21,21,Male,Retired,Diskretioneret
21,Male,Retired,PhD,1922,21,21,Male,Retired,Diskretioneret
21,Male,Retired,PhD,2701,21,21,Male,Retired,Diskretioneret
21,Male,Student,Associate's Degree,1638,21,21,Male,Diskretioneret,Diskretioneret
21,Male,Student,High School,1792,21,21,Male,Diskretioneret,Diskretioneret
21,Male,Student,High School,1856,21,21,Male,Diskretioneret,Diskretioneret
21,Male,Unemployed,Bachelor's Degree,811,21,21,Male,Unemployed,Diskretioneret
21,Male,Unemployed,Bachelor's Degree,2737,21,21,Male,Unemployed,Diskretioneret
21,Male,Unemployed,High School,896,21,21,Male,Unemployed,Diskretioneret
21,Male,Unemployed,PhD,1097,21,21,Male,Unemployed,Diskretioneret
21,Male,Unemployed,PhD,2233,21,21,Male,Unemployed,Diskretioneret
22,Female,Employed,Associate's Degree,2042,22,22,Female,Employed,Diskretioneret
22,Female,Employed,Associate's Degree,2705,22,22,Female,Employed,Diskretioneret
