"Age";"Sex";"Employment_Status";"Education_Level"
48;"Female";"Retired";"Associate's Degree"
32;"Female";"Student";"Associate's Degree"
68;"Male";"Employed";"Bachelor's Degree"
31;"Female";"Student";"High School"
20;"Male";"Retired";"Associate's Degree"
59;"Female";"Employed";"Master's Degree"
67;"Male";"Retired";"Associate's Degree"
71;"Male";"Retired";"High School"
60;"Male";"Retired";"High School"
54;"Male";"Unemployed";"Associate's Degree"
69;"Female";"Student";"Bachelor's Degree"
31;"Female";"Retired";"Associate's Degree"
71;"Male";"Employed";"High School"
42;"Male";"Student";"High School"
43;"Female";"Student";"Associate's Degree"
44;"Male";"Unemployed";"PhD"
22;"Male";"Retired";"PhD"
68;"Male";"Employed";"Master's Degree"
44;"Male";"Unemployed";"PhD"
74;"Male";"Retired";"PhD"
45;"Female";"Unemployed";"PhD"
74;"Female";"Unemployed";"PhD"
26;"Male";"Employed";"PhD"
46;"Female";"Student";"Bachelor's Degree"
52;"Female";"Unemployed";"Master's Degree"
25;"Male";"Employed";"High School"
43;"Female";"Unemployed";"PhD"
24;"Male";"Employed";"Master's Degree"
59;"Male";"Student";"Associate's Degree"
26;"Female";"Employed";"Bachelor's Degree"
79;"Female";"Unemployed";"Associate's Degree"
36;"Male";"Unemployed";"Master's Degree"
53;"Female";"Retired";"Associate's Degree"
31;"Female";"Retired";"High School"
34;"Male";"Employed";"Master's Degree"
60;"Male";"Unemployed";"Associate's Degree"
56;"Male";"Employed";"Bachelor's Degree"
70;"Female";"Student";"Master's Degree"
29;"Male";"Student";"High School"
32;"Female";"Unemployed";"Associate's Degree"
49;"Male";"Unemployed";"Master's Degree"
59;"Female";"Student";"Master's Degree"
62;"Male";"Unemployed";"PhD"
24;"Male";"Student";"Master's Degree"
26;"Male";"Employed";"Bachelor's Degree"
58;"Female";"Retired";"Bachelor's Degree"
27;"Male";"Student";"Master's Degree"
40;"Female";"Employed";"High School"
44;"Female";"Employed";"Master's Degree"
77;"Male";"Retired";"PhD"
70;"Male";"Unemployed";"High School"
24;"Male";"Unemployed";"Master's Degree"
70;"Female";"Employed";"PhD"
44;"Female";"Student";"Bachelor's Degree"
49;"Male";"Employed";"Master's Degree"
55;"Female";"Student";"Associate's Degree"
42;"Male";"Student";"Associate's Degree"
51;"Male";"Student";"Bachelor's Degree"
46;"Male";"Student";"Associate's Degree"
22;"Female";"Employed";"Bachelor's Degree"
25;"Male";"Employed";"Bachelor's Degree"
29;"Female";"Employed";"Master's Degree"
80;"Male";"Unemployed";"Bachelor's Degree"
30;"Male";"Unemployed";"Bachelor's Degree"
35;"Male";"Student";"PhD"
50;"Male";"Student";"Associate's Degree"
74;"Female";"Unemployed";"Associate's Degree"
44;"Female";"Unemployed";"Master's Degree"
42;"Female";"Employed";"PhD"
55;"Male";"Student";"PhD"
38;"Male";"Employed";"High School"
32;"Male";"Student";"PhD"
58;"Male";"Student";"Bachelor's Degree"
64;"Male";"Unemployed";"High School"
43;"Male";"Student";"PhD"
77;"Female";"Retired";"Bachelor's Degree"
48;"Male";"Retired";"Bachelor's Degree"
33;"Male";"Retired";"High School"
69;"Male";"Student";"Associate's Degree"
47;"Female";"Student";"Master's Degree"
23;"Male";"Retired";"Master's Degree"
60;"Female";"Employed";"High School"
25;"Male";"Employed";"Bachelor's Degree"
39;"Male";"Employed";"High School"
39;"Male";"Student";"Master's Degree"
56;"Male";"Unemployed";"Master's Degree"
48;"Male";"Employed";"Bachelor's Degree"
65;"Female";"Employed";"Bachelor's Degree"
34;"Male";"Unemployed";"Master's Degree"
71;"Male";"Retired";"Master's Degree"
67;"Male";"Student";"Associate's Degree"
66;"Female";"Employed";"Bachelor's Degree"
51;"Male";"Employed";"High School"
21;"Female";"Student";"High School"
30;"Male";"Unemployed";"PhD"
22;"Male";"Student";"Associate's Degree"
71;"Male";"Unemployed";"PhD"
80;"Female";"Unemployed";"Associate's Degree"
68;"Female";"Employed";"PhD"
42;"Female";"Student";"Associate's Degree"
69;"Female";"Student";"Associate's Degree"
39;"Male";"Unemployed";"Master's Degree"
42;"Female";"Unemployed";"Associate's Degree"
49;"Female";"Unemployed";"Master's Degree"
63;"Female";"Unemployed";"PhD"
42;"Male";"Student";"Bachelor's Degree"
40;"Male";"Employed";"Master's Degree"
52;"Female";"Unemployed";"High School"
57;"Male";"Student";"PhD"
65;"Male";"Employed";"PhD"
47;"Female";"Student";"Bachelor's Degree"
29;"Female";"Student";"Bachelor's Degree"
48;"Male";"Unemployed";"Associate's Degree"
74;"Male";"Unemployed";"Associate's Degree"
63;"Female";"Student";"High School"
47;"Female";"Student";"Associate's Degree"
52;"Female";"Unemployed";"PhD"
31;"Female";"Unemployed";"Master's Degree"
46;"Male";"Unemployed";"Master's Degree"
49;"Female";"Unemployed";"Bachelor's Degree"
24;"Male";"Student";"Bachelor's Degree"
20;"Male";"Unemployed";"Associate's Degree"
40;"Male";"Unemployed";"Associate's Degree"
71;"Male";"Unemployed";"High School"
75;"Male";"Employed";"Associate's Degree"
32;"Male";"Student";"Associate's Degree"
38;"Male";"Employed";"Associate's Degree"
54;"Female";"Retired";"Bachelor's Degree"
25;"Male";"Student";"High School"
68;"Male";"Retired";"Bachelor's Degree"
27;"Male";"Retired";"PhD"
67;"Male";"Unemployed";"High School"
59;"Male";"Retired";"Associate's Degree"
61;"Male";"Employed";"High School"
51;"Female";"Retired";"Associate's Degree"
27;"Female";"Employed";"High School"
39;"Male";"Unemployed";"High School"
80;"Female";"Employed";"High School"
29;"Female";"Student";"PhD"
37;"Female";"Unemployed";"Master's Degree"
63;"Male";"Retired";"High School"
34;"Female";"Employed";"Associate's Degree"
79;"Male";"Employed";"High School"
63;"Male";"Retired";"PhD"
71;"Male";"Unemployed";"High School"
52;"Male";"Unemployed";"PhD"
57;"Female";"Unemployed";"Associate's Degree"
63;"Male";"Unemployed";"PhD"
68;"Female";"Student";"Associate's Degree"
47;"Male";"Student";"PhD"
32;"Female";"Unemployed";"PhD"
41;"Female";"Retired";"High School"
66;"Male";"Employed";"Master's Degree"
40;"Female";"Employed";"Bachelor's Degree"
60;"Female";"Student";"Master's Degree"
24;"Female";"Employed";"PhD"
46;"Female";"Unemployed";"PhD"
32;"Female";"Retired";"High School"
40;"Female";"Unemployed";"PhD"
43;"Male";"Employed";"PhD"
55;"Female";"Employed";"Master's Degree"
63;"Female";"Unemployed";"PhD"
80;"Female";"Employed";"Associate's Degree"
49;"Female";"Retired";"Bachelor's Degree"
24;"Female";"Student";"Bachelor's Degree"
44;"Male";"Unemployed";"PhD"
59;"Female";"Retired";"Associate's Degree"
22;"Male";"Unemployed";"Master's Degree"
23;"Male";"Retired";"Master's Degree"
33;"Female";"Retired";"High School"
41;"Female";"Unemployed";"Bachelor's Degree"
49;"Male";"Unemployed";"High School"
38;"Male";"Retired";"PhD"
72;"Female";"Employed";"Bachelor's Degree"
28;"Female";"Student";"PhD"
